from_county,to_county,facility,product,units,meta
KISII,TURKANA,Kisii Lev 5,Distributed_Protective_Clothings_Caps,58,Distibuted_Sunscreen_Lotions=2520; Distributed_After_Sun_Lotions=2520; Distributed_Protective_Clothings_Caps=630; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=630
KISII,TURKANA,Kisii Lev 5,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,58,Distibuted_Sunscreen_Lotions=2520; Distributed_After_Sun_Lotions=2520; Distributed_Protective_Clothings_Caps=630; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=630
KISII,TURKANA,Keumbu  Hospital,Distibuted_Sunscreen_Lotions,50,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Keumbu  Hospital,Distributed_Lip_Care_Products,50,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Keumbu  Hospital,Distributed_After_Sun_Lotions,50,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Keumbu  Hospital,Distributed_Protective_Clothings_Caps,12,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Keumbu  Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,12,Distibuted_Sunscreen_Lotions=540; Distributed_After_Sun_Lotions=540; Distributed_Protective_Clothings_Caps=135; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=135
KISII,TURKANA,Kisii Lev 5,Distibuted_Sunscreen_Lotions,1,Distibuted_Sunscreen_Lotions=2520; Distributed_After_Sun_Lotions=2520; Distributed_Protective_Clothings_Caps=630; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=630
KISII,BUSIA,Nyamache Hospital,Distibuted_Sunscreen_Lotions,79,Distibuted_Sunscreen_Lotions=1620; Distributed_After_Sun_Lotions=1620; Distributed_Protective_Clothings_Caps=405; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=405
KISII,BUSIA,Nyamache Hospital,Distributed_Lip_Care_Products,79,Distibuted_Sunscreen_Lotions=1620; Distributed_After_Sun_Lotions=1620; Distributed_Protective_Clothings_Caps=405; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=405
KISII,BUSIA,Nyamache Hospital,Distributed_After_Sun_Lotions,79,Distibuted_Sunscreen_Lotions=1620; Distributed_After_Sun_Lotions=1620; Distributed_Protective_Clothings_Caps=405; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=405
KISII,BUSIA,Nyamache Hospital,Distributed_Protective_Clothings_Caps,20,Distibuted_Sunscreen_Lotions=1620; Distributed_After_Sun_Lotions=1620; Distributed_Protective_Clothings_Caps=405; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=405
KISII,BUSIA,Nyamache Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,20,Distibuted_Sunscreen_Lotions=1620; Distributed_After_Sun_Lotions=1620; Distributed_Protective_Clothings_Caps=405; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=405
KISII,BUSIA,Nyamarambe/Nduru Hospital,Distibuted_Sunscreen_Lotions,105,Distibuted_Sunscreen_Lotions=2160; Distributed_After_Sun_Lotions=2160; Distributed_Protective_Clothings_Caps=540; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=540
KISII,BUSIA,Nyamarambe/Nduru Hospital,Distributed_Lip_Care_Products,105,Distibuted_Sunscreen_Lotions=2160; Distributed_After_Sun_Lotions=2160; Distributed_Protective_Clothings_Caps=540; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=540
KISII,BUSIA,Nyamarambe/Nduru Hospital,Distributed_After_Sun_Lotions,105,Distibuted_Sunscreen_Lotions=2160; Distributed_After_Sun_Lotions=2160; Distributed_Protective_Clothings_Caps=540; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=540
KISII,BUSIA,Nyamarambe/Nduru Hospital,Distributed_Protective_Clothings_Caps,26,Distibuted_Sunscreen_Lotions=2160; Distributed_After_Sun_Lotions=2160; Distributed_Protective_Clothings_Caps=540; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=540
KISII,BUSIA,Nyamarambe/Nduru Hospital,Distributed_Protective_Clothings_Long_sleeved_T-Shirts,26,Distibuted_Sunscreen_Lotions=2160; Distributed_After_Sun_Lotions=2160; Distributed_Protective_Clothings_Caps=540; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=540
KISII,BUSIA,Kenyenya Hospital,Distibuted_Sunscreen_Lotions,70,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
KISII,BUSIA,Kenyenya Hospital,Distributed_Lip_Care_Products,70,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
KISII,BUSIA,Kenyenya Hospital,Distributed_After_Sun_Lotions,70,Distibuted_Sunscreen_Lotions=1440; Distributed_After_Sun_Lotions=1440; Distributed_Protective_Clothings_Caps=360; Distributed_Protective_Clothings_Long_sleeved_T-Shirts=360
